270,0.0012617,300,-553.67,-1.4757
280,0.0034882,300,-532.24,-1.3978
290,0.0088545,300,-510.52,-1.3216
300,0.020833,300,-488.5,-1.2469
310,0.045799,300,-466.15,-1.1736
320,0.094744,300,-443.46,-1.1016
330,0.18556,300,-420.41,-1.0307
340,0.34594,300,-397,-0.96077
350,0.61678,300,-373.2,-0.89181
360,1.0561,300,-349.03,-0.8237
370,1.7432,300,-324.45,-0.75639
380,2.7827,300,-299.48,-0.6898
390,4.3088,300,-274.1,-0.62388
400,6.489,300,-248.3,-0.55858
410,9.5271,300,-222.08,-0.49386
420,13.666,300,-195.43,-0.42967
430,19.19,300,-168.34,-0.36599
440,26.424,300,-140.81,-0.30276
450,35.739,300,-112.84,-0.23997
460,47.545,300,-84.418,-0.17759
470,62.299,300,-55.536,-0.11558
480,80.497,300,-26.19,-0.053928
490,102.68,300,3.6242,0.0073935
500,129.42,300,33.914,0.068405
510,161.36,300,64.684,0.12913
520,199.14,300,95.942,0.18958
530,243.47,300,127.69,0.24977
540,295.11,300,159.94,0.30973
550,354.86,300,192.7,0.36948
560,423.55,300,225.98,0.42902
570,502.11,300,259.78,0.48838
580,591.5,300,294.12,0.54758
590,692.79,300,329,0.60663
600,807.14,300,364.44,0.66555
610,935.85,300,400.45,0.72437
620,1080.4,300,437.05,0.7831
630,1242.6,300,474.27,0.84179
640,1424.6,300,512.17,0.90052
650,1629.8,300,550.95,0.95958
656.34,1774.5,300,576.59,0.99809
660,1907.3,300,588.63,1.0157
670,2278.3,300,621.59,1.0634
680,2659.8,300,654.68,1.1106
690,3049.8,300,687.93,1.1572
700,3446.9,300,721.33,1.2034
