T,P,h,s,gamma,rho
1041.10,14580.00,-1644.70,6.95,1.10,4813.00
990.99,8516.60,-1803.60,6.95,1.10,2953.50
1038.10,9720.00,-1644.70,7.07,1.10,3205.40
987.92,5676.50,-1803.80,7.07,1.10,1967.10
1295.70,14580.00,-1541.40,7.69,1.10,3778.90
1234.30,8522.70,-1743.60,7.69,1.10,2318.70
1286.50,9720.00,-1541.40,7.81,1.10,2513.20
1224.80,5678.90,-1744.20,7.81,1.10,1542.30
1483.80,14580.00,-1454.00,8.18,1.10,3171.60
1410.00,8506.60,-1695.50,8.18,1.11,1947.30
1466.60,9720.00,-1454.00,8.31,1.11,2107.10
1392.10,5666.20,-1696.60,8.31,1.11,1294.10
1627.30,14580.00,-1379.10,8.54,1.11,2758.90
1539.80,8479.50,-1657.80,8.54,1.11,1695.60
1602.50,9720.00,-1379.10,8.67,1.12,1832.20
1514.00,5646.30,-1659.30,8.67,1.12,1126.50
1742.50,14580.00,-1314.20,8.81,1.12,2456.60
1640.50,8446.70,-1628.70,8.81,1.13,1511.70
1711.30,9720.00,-1314.20,8.95,1.13,1631.60
1608.00,5622.70,-1630.40,8.95,1.13,1004.40
1839.60,14580.00,-1257.50,9.03,1.13,2224.90
1722.30,8410.70,-1606.40,9.03,1.14,1370.90
1803.10,9720.00,-1257.50,9.18,1.14,1478.20
1684.20,5597.10,-1608.30,9.18,1.14,911.27
1924.80,14580.00,-1207.30,9.21,1.15,2041.50
1791.50,8373.00,-1589.60,9.21,1.15,1259.60
1884.00,9720.00,-1207.30,9.36,1.15,1357.00
1748.90,5570.50,-1591.70,9.36,1.16,837.74
2001.70,14580.00,-1162.80,9.35,1.16,1892.60
1957.50,9720.00,-1162.80,9.51,1.17,1258.60
1805.60,5543.50,-1579.50,9.51,1.17,778.16
2072.90,14580.00,-1123.00,9.48,1.17,1769.30
2025.90,9720.00,-1123.00,9.64,1.18,1177.10
2140.00,14580.00,-1087.10,9.58,1.19,1665.40
1955.80,8256.50,-1563.20,9.58,1.19,1031.90
2090.80,9720.00,-1087.10,9.75,1.19,1108.30
2230.20,14580.00,-1054.60,9.66,1.20,1558.70
2026.50,8220.10,-1565.90,9.66,1.20,967.14
2176.60,9720.00,-1054.60,9.84,1.21,1037.70
1970.00,5463.30,-1568.30,9.84,1.21,644.46
2330.40,14580.00,-1025.10,9.73,1.21,1461.30
2106.00,8185.70,-1573.00,9.73,1.22,907.87
2272.90,9720.00,-1025.10,9.90,1.22,973.02
2045.20,5438.90,-1575.70,9.90,1.23,605.10
2434.30,14580.00,-998.20,9.78,1.22,1377.30
2188.80,8154.20,-1581.90,9.78,1.23,856.72
2375.20,9720.00,-998.20,9.96,1.23,916.98
2126.00,5417.10,-1584.90,9.96,1.24,570.96
2546.30,14580.00,-973.50,9.81,1.23,1304.30
2279.70,8127.80,-1592.00,9.81,1.24,812.12
2489.60,9720.00,-973.50,9.99,1.24,867.99
2219.10,5400.00,-1595.40,9.99,1.25,541.00
2672.40,14580.00,-950.79,9.83,1.24,1240.70
2385.40,8109.50,-1602.50,9.83,1.24,773.11
2624.30,9720.00,-950.79,10.01,1.25,825.21
2333.50,5390.20,-1606.10,10.01,1.25,514.65
2818.60,14580.00,-929.82,9.84,1.24,1186.20
2513.00,8102.40,-1612.10,9.84,1.25,739.40
2785.60,9720.00,-929.82,10.02,1.25,788.74
2476.70,5390.30,-1615.40,10.02,1.25,491.94
2986.20,14580.00,-910.41,9.83,1.24,1141.20
2664.50,8108.00,-1619.10,9.83,1.24,711.23
2968.40,9720.00,-910.41,10.01,1.24,759.12
2644.70,5399.10,-1621.50,10.01,1.25,473.28
3166.80,14580.00,-892.38,9.81,1.23,1105.50
2832.20,8122.80,-1622.40,9.81,1.24,688.69
3158.10,9720.00,-892.38,9.98,1.24,736.01
2822.40,5412.10,-1623.90,9.98,1.24,458.56
3348.90,14580.00,-875.59,9.79,1.23,1078.10
3003.90,8141.50,-1622.40,9.79,1.23,671.14
3343.50,9720.00,-875.59,9.95,1.23,718.23
2997.90,5426.10,-1623.10,9.95,1.23,447.16
3525.00,14580.00,-859.93,9.75,1.22,1057.10
3171.50,8160.80,-1619.60,9.75,1.22,657.62
3519.60,9720.00,-859.93,9.91,1.22,704.64
3165.90,5439.50,-1619.80,9.91,1.22,438.40
